volume	quality	unit_price
210000	95	21.98
220000	95	22.08
230000	95	22.17
240000	95	22.26
250000	95	22.35
260000	95	22.43
270000	95	22.51
280000	95	22.59
290000	95	22.66
300000	95	22.73
310000	95	22.8
320000	95	22.86
330000	95	22.92
340000	95	22.98
350000	95	23.03
360000	95	23.08
370000	95	23.13
380000	95	23.18
390000	95	23.23
400000	95	23.28
