quality	tv	internet	warehouse	price	sold_ratio
66	53000	49000	17000	24	0.845
67	0	0	0	23	0.756
67	8000	23000	4000	23	0.813
67	8000	46000	20000	21	0.98
67	8000	50000	20000	21	0.988
67	8000	50000	25000	21	0.99
67	8000	51000	20000	21	0.99
67	8000	51000	56000	21	1.0
67	8000	51000	56000	23	0.886
67	8000	53000	20000	21	0.994
67	8000	53000	20000	24	0.818
67	10000	46000	20000	21	0.982
67	10000	53000	20000	21	0.996
67	10000	57000	20000	21	1.0
67	11000	49000	4000	21	0.984
67	14000	45000	13000	21	0.982
67	25000	32000	10000	22	0.91
67	26000	32000	9000	22	0.911
67	26000	32000	10000	22	0.911
67	26000	32000	32000	21	0.975
67	26000	48000	22000	24	0.828
67	27000	57000	20000	21	1.0
67	27000	57000	56000	23	0.918
67	27000	58000	20000	21	1.0
67	27000	58000	56000	23	1.0
67	27000	60000	20000	21	1.0
67	33000	45000	20000	24	0.828
67	41000	31000	55000	21	0.993
67	43000	56000	10000	21	1.0
67	47000	48000	0	23	0.9
67	47000	58000	10000	22	0.982
67	47000	60000	6000	22	0.985
67	47000	60000	10000	22	0.986
67	49000	10000	4000	22	0.886
67	49000	56000	10000	22	0.98
67	49000	57000	10000	22	0.982
67	49000	58000	6000	22	0.983
67	49000	60000	6000	22	0.987
67	49000	60000	10000	22	0.988
67	56000	41000	0	22	0.952
67	60000	12000	12000	21	0.958
68	0	0	0	15	1.0
68	0	0	0	16	1.0
68	0	0	0	17	1.0
68	0	0	0	18	1.0
68	0	0	0	19	0.984
68	0	0	0	22	0.822
68	0	0	0	23	0.763
68	0	0	0	25	0.638
68	13000	44000	16000	22	0.93
68	17000	32000	11000	20	1.0
68	29000	49000	8000	23	0.895
68	31000	58000	8000	24	0.854
68	41000	44000	17000	21	1.0
68	43000	49000	10000	24	0.848
68	53000	41000	10000	24	0.84
68	56000	59000	12000	21	1.0
69	0	0	0	14	1.0
69	0	0	0	16	1.0
69	0	0	0	18	1.0
69	0	0	0	22	0.828
69	0	0	0	23	0.769
69	10000	38000	3000	20	1.0
69	10000	38000	5000	20	1.0
69	10000	42000	3000	20	1.0
69	30000	57000	14000	22	0.979
69	48000	47000	18000	24	0.857
69	49000	53000	10000	23	0.928
69	58000	60000	4000	24	0.886
69	60000	27000	9000	20	1.0
70	0	0	0	10	1.0
70	0	0	0	16	1.0
70	12000	46000	8000	22	0.943
70	23000	51000	12000	22	0.966
70	26000	47000	3000	22	0.958
70	58000	26000	5000	24	0.825
70	58000	41000	19000	24	0.86
70	58000	45000	0	23	0.922
73	0	0	0	10	1.0
73	0	0	0	14	1.0
